ref,species,yearstart,locality,dist_to_shore
williams2001,hygophum hanseni,1992,tasmania,70356.34337978199
williams2001,diaphus danae,1992,tasmania,70356.34337978199
williams2001,lampanyctus australis,1992,tasmania,70356.34337978199
woodstock2020,benthosema suborbitale,2010,gulf of mexico,114057.8823701083
woodstock2020,ceratoscopelus warmingii,2010,gulf of mexico,114057.8823701083
woodstock2020,diaphus mollis,2010,gulf of mexico,114057.8823701083
woodstock2020,lampanyctus alatus,2010,gulf of mexico,114057.8823701083
woodstock2020,diaphus dumerilii,2010,gulf of mexico,114057.8823701083
woodstock2020,lepidophanes guentheri,2010,gulf of mexico,114057.8823701083
woodstock2020,diaphus lucidus,2010,gulf of mexico,114057.8823701083
young1986,lampanyctodes hectoris,1984,tasmania,24247.033923406794
young1986,diaphus danae,1984,tasmania,24247.033923406794
zavala2019,diogenichthys laternatus,2015,chile,2286312.5405708677
zavala2019,diogenichthys atlanticus,2015,chile,2286312.5405708677
zhang2024,diaphus watasei,2021,east china sea,207951.19310203838
